game_id,game_date,teams,inning,inning_half,at_bat_id,batter,batter_id,pitcher,pitcher_id,play_id,sequence_number,pitch_number,at_bat_pitch_number,bat_order,play_type,play_type_text,play_description,balls_before,strikes_before,coordinate_x,coordinate_y,velocity_mph,pitch_type,pitch_type_abbrev,batter_side,away_score,home_score,wallclock,scoring_play,participants_count,alternative_text,raw_play_data
401696656,2025-08-09,Atlanta Braves vs Miami Marlins,1,Top,4016966560001,,41326,,33793,4016966560001020005,2,1,1,1,ball,Ball,Pitch 1 : Ball 1,1,0,147,188,93,Sinker,SI,L,0,0,2025-08-09T23:16:07Z,False,2,,"{""id"":""4016966560001020005"",""sequenceNumber"":""2"",""type"":{""id"":""5"",""text"":""Ball"",""abbreviation"":""B"",""alternativeText"":""Walk"",""type"":""ball""},""text"":""Pitch 1 : Ball 1"",""awayScore"":0,""homeScore"":0,""period"":{""type"":""Top"",""number"":1,""displayValue"":""1st Inning""},""scoringPlay"":false,""scoreValue"":0,""team"":{""id"":""15""},""participants"":[{""athlete"":{""id"":""33793""},""type"":""pitcher""},{""athlete"":{""id"":""41326""},""type"":""batter""}],""wallclock"":""2025-08-09T23:16:07Z"",""atBatId"":""4016966560001"",""batOrder"":1,""bats"":{""type"":""LEFT"",""abbreviation"":""L"",""displayValue"":""Left""},""atBatPitchNumber"":1,""pitchCoordinate"":{""x"":147,""y"":188},""pitchType"":{""id"":""2"",""text"":""Sinker"",""abbreviation"":""SI""},""pitchVelocity"":93,""summaryType"":""P"",""pitchCount"":{""balls"":0,""strikes"":0},""resultCount"":{""balls"":1,""strikes"":0},""trajectory"":""G"",""outs"":1}"
401696656,2025-08-09,Atlanta Braves vs Miami Marlins,1,Top,4016966560001,,41326,,33793,4016966560001030005,3,2,2,1,ball,Ball,Pitch 2 : Ball 2,2,0,147,152,92,Sinker,SI,L,0,0,2025-08-09T23:16:21Z,False,2,,"{""id"":""4016966560001030005"",""sequenceNumber"":""3"",""type"":{""id"":""5"",""text"":""Ball"",""abbreviation"":""B"",""alternativeText"":""Walk"",""type"":""ball""},""text"":""Pitch 2 : Ball 2"",""awayScore"":0,""homeScore"":0,""period"":{""type"":""Top"",""number"":1,""displayValue"":""1st Inning""},""scoringPlay"":false,""scoreValue"":0,""team"":{""id"":""15""},""participants"":[{""athlete"":{""id"":""33793""},""type"":""pitcher""},{""athlete"":{""id"":""41326""},""type"":""batter""}],""wallclock"":""2025-08-09T23:16:21Z"",""atBatId"":""4016966560001"",""batOrder"":1,""bats"":{""type"":""LEFT"",""abbreviation"":""L"",""displayValue"":""Left""},""atBatPitchNumber"":2,""pitchCoordinate"":{""x"":147,""y"":152},""pitchType"":{""id"":""2"",""text"":""Sinker"",""abbreviation"":""SI""},""pitchVelocity"":92,""summaryType"":""P"",""pitchCount"":{""balls"":1,""strikes"":0},""resultCount"":{""balls"":2,""strikes"":0},""trajectory"":""G"",""outs"":1}"
401696656,2025-08-09,Atlanta Braves vs Miami Marlins,1,Top,4016966560001,,41326,,33793,4016966560001040021,4,3,3,1,foul-ball,Foul Ball,Pitch 3 : Strike 1 Foul,2,0,147,180,92,Sinker,SI,L,0,0,2025-08-09T23:16:33Z,False,2,,"{""id"":""4016966560001040021"",""sequenceNumber"":""4"",""type"":{""id"":""21"",""text"":""Foul Ball"",""abbreviation"":""F"",""type"":""foul-ball""},""text"":""Pitch 3 : Strike 1 Foul"",""awayScore"":0,""homeScore"":0,""period"":{""type"":""Top"",""number"":1,""displayValue"":""1st Inning""},""scoringPlay"":false,""scoreValue"":0,""team"":{""id"":""15""},""participants"":[{""athlete"":{""id"":""33793""},""type"":""pitcher""},{""athlete"":{""id"":""41326""},""type"":""batter""}],""wallclock"":""2025-08-09T23:16:33Z"",""atBatId"":""4016966560001"",""batOrder"":1,""bats"":{""type"":""LEFT"",""abbreviation"":""L"",""displayValue"":""Left""},""atBatPitchNumber"":3,""pitchCoordinate"":{""x"":147,""y"":180},""pitchType"":{""id"":""2"",""text"":""Sinker"",""abbreviation"":""SI""},""pitchVelocity"":92,""hitCoordinate"":{""x"":121,""y"":143},""summaryType"":""P"",""pitchCount"":{""balls"":2,""strikes"":0},""resultCount"":{""balls"":2,""strikes"":1},""trajectory"":""G"",""outs"":1}"
401696656,2025-08-09,Atlanta Braves vs Miami Marlins,1,Top,4016966560001,,41326,,33793,4016966560001050024,5,4,4,1,ground-out,Ground Out,Pitch 4 : Ball In Play,2,0,126,173,94,Sinker,SI,L,0,0,2025-08-09T23:17:06Z,False,2,,"{""id"":""4016966560001050024"",""sequenceNumber"":""5"",""type"":{""id"":""24"",""text"":""Ground Out"",""abbreviation"":""GRO"",""alternativeText"":""Ground Out"",""type"":""ground-out""},""text"":""Pitch 4 : Ball In Play"",""awayScore"":0,""homeScore"":0,""period"":{""type"":""Top"",""number"":1,""displayValue"":""1st Inning""},""scoringPlay"":false,""scoreValue"":0,""team"":{""id"":""15""},""participants"":[{""athlete"":{""id"":""33793""},""type"":""pitcher""},{""athlete"":{""id"":""41326""},""type"":""batter""}],""wallclock"":""2025-08-09T23:17:06Z"",""atBatId"":""4016966560001"",""batOrder"":1,""bats"":{""type"":""LEFT"",""abbreviation"":""L"",""displayValue"":""Left""},""atBatPitchNumber"":4,""pitchCoordinate"":{""x"":126,""y"":173},""pitchType"":{""id"":""2"",""text"":""Sinker"",""abbreviation"":""SI""},""pitchVelocity"":94,""hitCoordinate"":{""x"":121,""y"":143},""summaryType"":""P"",""pitchCount"":{""balls"":2,""strikes"":1},""resultCount"":{""balls"":2,""strikes"":1},""trajectory"":""G"",""outs"":1}"
401696656,2025-08-09,Atlanta Braves vs Miami Marlins,1,Top,4016966560002,,42796,,33793,4016966560002020036,2,1,1,2,strike-looking,Strike Looking,Pitch 1 : Strike 1 Looking,0,1,88,151,94,Sinker,SI,L,0,0,2025-08-09T23:17:22Z,False,2,,"{""id"":""4016966560002020036"",""sequenceNumber"":""2"",""type"":{""id"":""36"",""text"":""Strike Looking"",""abbreviation"":""SL"",""alternativeText"":""Strikeout"",""type"":""strike-looking""},""text"":""Pitch 1 : Strike 1 Looking"",""awayScore"":0,""homeScore"":0,""period"":{""type"":""Top"",""number"":1,""displayValue"":""1st Inning""},""scoringPlay"":false,""scoreValue"":0,""team"":{""id"":""15""},""participants"":[{""athlete"":{""id"":""33793""},""type"":""pitcher""},{""athlete"":{""id"":""42796""},""type"":""batter""}],""wallclock"":""2025-08-09T23:17:22Z"",""atBatId"":""4016966560002"",""batOrder"":2,""bats"":{""type"":""LEFT"",""abbreviation"":""L"",""displayValue"":""Left""},""atBatPitchNumber"":1,""pitchCoordinate"":{""x"":88,""y"":151},""pitchType"":{""id"":""2"",""text"":""Sinker"",""abbreviation"":""SI""},""pitchVelocity"":94,""summaryType"":""P"",""pitchCount"":{""balls"":0,""strikes"":0},""resultCount"":{""balls"":0,""strikes"":1},""outs"":1}"
401696656,2025-08-09,Atlanta Braves vs Miami Marlins,1,Top,4016966560002,,42796,,33793,4016966560002030005,3,2,2,2,ball,Ball,Pitch 2 : Ball 1,1,1,82,128,92,Cutter,FC,L,0,0,2025-08-09T23:17:33Z,False,2,,"{""id"":""4016966560002030005"",""sequenceNumber"":""3"",""type"":{""id"":""5"",""text"":""Ball"",""abbreviation"":""B"",""alternativeText"":""Walk"",""type"":""ball""},""text"":""Pitch 2 : Ball 1"",""awayScore"":0,""homeScore"":0,""period"":{""type"":""Top"",""number"":1,""displayValue"":""1st Inning""},""scoringPlay"":false,""scoreValue"":0,""team"":{""id"":""15""},""participants"":[{""athlete"":{""id"":""33793""},""type"":""pitcher""},{""athlete"":{""id"":""42796""},""type"":""batter""}],""wallclock"":""2025-08-09T23:17:33Z"",""atBatId"":""4016966560002"",""batOrder"":2,""bats"":{""type"":""LEFT"",""abbreviation"":""L"",""displayValue"":""Left""},""atBatPitchNumber"":2,""pitchCoordinate"":{""x"":82,""y"":128},""pitchType"":{""id"":""3"",""text"":""Cutter"",""abbreviation"":""FC""},""pitchVelocity"":92,""summaryType"":""P"",""pitchCount"":{""balls"":0,""strikes"":1},""resultCount"":{""balls"":1,""strikes"":1},""outs"":1}"
401696656,2025-08-09,Atlanta Braves vs Miami Marlins,1,Top,4016966560002,,42796,,33793,4016966560002040005,4,3,3,2,ball,Ball,Pitch 3 : Ball 2,2,1,147,193,89,Changeup,CH,L,0,0,2025-08-09T23:17:45Z,False,2,,"{""id"":""4016966560002040005"",""sequenceNumber"":""4"",""type"":{""id"":""5"",""text"":""Ball"",""abbreviation"":""B"",""alternativeText"":""Walk"",""type"":""ball""},""text"":""Pitch 3 : Ball 2"",""awayScore"":0,""homeScore"":0,""period"":{""type"":""Top"",""number"":1,""displayValue"":""1st Inning""},""scoringPlay"":false,""scoreValue"":0,""team"":{""id"":""15""},""participants"":[{""athlete"":{""id"":""33793""},""type"":""pitcher""},{""athlete"":{""id"":""42796""},""type"":""batter""}],""wallclock"":""2025-08-09T23:17:45Z"",""atBatId"":""4016966560002"",""batOrder"":2,""bats"":{""type"":""LEFT"",""abbreviation"":""L"",""displayValue"":""Left""},""atBatPitchNumber"":3,""pitchCoordinate"":{""x"":147,""y"":193},""pitchType"":{""id"":""6"",""text"":""Changeup"",""abbreviation"":""CH""},""pitchVelocity"":89,""summaryType"":""P"",""pitchCount"":{""balls"":1,""strikes"":1},""resultCount"":{""balls"":2,""strikes"":1},""outs"":1}"
401696656,2025-08-09,Atlanta Braves vs Miami Marlins,1,Top,4016966560002,,42796,,33793,4016966560002050037,5,4,4,2,strike-swinging,Strike Swinging,Pitch 4 : Strike 2 Swinging,2,2,123,150,92,Cutter,FC,L,0,0,2025-08-09T23:17:57Z,False,2,,"{""id"":""4016966560002050037"",""sequenceNumber"":""5"",""type"":{""id"":""37"",""text"":""Strike Swinging"",""abbreviation"":""SS"",""alternativeText"":""Strikeout"",""type"":""strike-swinging""},""text"":""Pitch 4 : Strike 2 Swinging"",""awayScore"":0,""homeScore"":0,""period"":{""type"":""Top"",""number"":1,""displayValue"":""1st Inning""},""scoringPlay"":false,""scoreValue"":0,""team"":{""id"":""15""},""participants"":[{""athlete"":{""id"":""33793""},""type"":""pitcher""},{""athlete"":{""id"":""42796""},""type"":""batter""}],""wallclock"":""2025-08-09T23:17:57Z"",""atBatId"":""4016966560002"",""batOrder"":2,""bats"":{""type"":""LEFT"",""abbreviation"":""L"",""displayValue"":""Left""},""atBatPitchNumber"":4,""pitchCoordinate"":{""x"":123,""y"":150},""pitchType"":{""id"":""3"",""text"":""Cutter"",""abbreviation"":""FC""},""pitchVelocity"":92,""summaryType"":""P"",""pitchCount"":{""balls"":2,""strikes"":1},""resultCount"":{""balls"":2,""strikes"":2},""outs"":1}"
401696656,2025-08-09,Atlanta Braves vs Miami Marlins,1,Top,4016966560002,,42796,,33793,4016966560002060021,6,5,5,2,foul-ball,Foul Ball,Pitch 5 : Strike 2 Foul,2,2,143,169,92,Cutter,FC,L,0,0,2025-08-09T23:18:18Z,False,2,,"{""id"":""4016966560002060021"",""sequenceNumber"":""6"",""type"":{""id"":""21"",""text"":""Foul Ball"",""abbreviation"":""F"",""type"":""foul-ball""},""text"":""Pitch 5 : Strike 2 Foul"",""awayScore"":0,""homeScore"":0,""period"":{""type"":""Top"",""number"":1,""displayValue"":""1st Inning""},""scoringPlay"":false,""scoreValue"":0,""team"":{""id"":""15""},""participants"":[{""athlete"":{""id"":""33793""},""type"":""pitcher""},{""athlete"":{""id"":""42796""},""type"":""batter""}],""wallclock"":""2025-08-09T23:18:18Z"",""atBatId"":""4016966560002"",""batOrder"":2,""bats"":{""type"":""LEFT"",""abbreviation"":""L"",""displayValue"":""Left""},""atBatPitchNumber"":5,""pitchCoordinate"":{""x"":143,""y"":169},""pitchType"":{""id"":""3"",""text"":""Cutter"",""abbreviation"":""FC""},""pitchVelocity"":92,""summaryType"":""P"",""pitchCount"":{""balls"":2,""strikes"":2},""resultCount"":{""balls"":2,""strikes"":2},""outs"":1}"
401696656,2025-08-09,Atlanta Braves vs Miami Marlins,1,Top,4016966560002,,42796,,33793,4016966560002070005,7,6,6,2,ball,Ball,Pitch 6 : Ball 3,3,2,122,119,91,Cutter,FC,L,0,0,2025-08-09T23:18:34Z,False,2,,"{""id"":""4016966560002070005"",""sequenceNumber"":""7"",""type"":{""id"":""5"",""text"":""Ball"",""abbreviation"":""B"",""alternativeText"":""Walk"",""type"":""ball""},""text"":""Pitch 6 : Ball 3"",""awayScore"":0,""homeScore"":0,""period"":{""type"":""Top"",""number"":1,""displayValue"":""1st Inning""},""scoringPlay"":false,""scoreValue"":0,""team"":{""id"":""15""},""participants"":[{""athlete"":{""id"":""33793""},""type"":""pitcher""},{""athlete"":{""id"":""42796""},""type"":""batter""}],""wallclock"":""2025-08-09T23:18:34Z"",""atBatId"":""4016966560002"",""batOrder"":2,""bats"":{""type"":""LEFT"",""abbreviation"":""L"",""displayValue"":""Left""},""atBatPitchNumber"":6,""pitchCoordinate"":{""x"":122,""y"":119},""pitchType"":{""id"":""3"",""text"":""Cutter"",""abbreviation"":""FC""},""pitchVelocity"":91,""summaryType"":""P"",""pitchCount"":{""balls"":2,""strikes"":2},""resultCount"":{""balls"":3,""strikes"":2},""outs"":1}"
