game_id,game_date,teams,inning,inning_half,at_bat_id,batter,batter_id,pitcher,pitcher_id,play_id,sequence_number,pitch_number,at_bat_pitch_number,bat_order,play_type,play_type_text,play_description,balls_before,strikes_before,coordinate_x,coordinate_y,velocity_mph,pitch_type,pitch_type_abbrev,batter_side,away_score,home_score,wallclock,scoring_play,participants_count,alternative_text,raw_play_data
401696658,2025-08-09,St. Louis Cardinals vs Chicago Cubs,1,Top,4016966580001,,42415,,4109034,4016966580001020036,2,1,1,1,strike-looking,Strike Looking,Pitch 1 : Strike 1 Looking,0,1,146,152,93,Four-seam FB,FF,L,0,0,2025-08-09T23:16:05Z,False,2,,"{""id"":""4016966580001020036"",""sequenceNumber"":""2"",""type"":{""id"":""36"",""text"":""Strike Looking"",""abbreviation"":""SL"",""alternativeText"":""Strikeout"",""type"":""strike-looking""},""text"":""Pitch 1 : Strike 1 Looking"",""awayScore"":0,""homeScore"":0,""period"":{""type"":""Top"",""number"":1,""displayValue"":""1st Inning""},""scoringPlay"":false,""scoreValue"":0,""team"":{""id"":""24""},""participants"":[{""athlete"":{""id"":""4109034""},""type"":""pitcher""},{""athlete"":{""id"":""42415""},""type"":""batter""}],""wallclock"":""2025-08-09T23:16:05Z"",""atBatId"":""4016966580001"",""batOrder"":1,""bats"":{""type"":""LEFT"",""abbreviation"":""L"",""displayValue"":""Left""},""atBatPitchNumber"":1,""pitchCoordinate"":{""x"":146,""y"":152},""pitchType"":{""id"":""17"",""text"":""Four-seam FB"",""abbreviation"":""FF""},""pitchVelocity"":93,""summaryType"":""P"",""pitchCount"":{""balls"":0,""strikes"":0},""resultCount"":{""balls"":0,""strikes"":1},""trajectory"":""L"",""outs"":0}"
401696658,2025-08-09,St. Louis Cardinals vs Chicago Cubs,1,Top,4016966580001,,42415,,4109034,4016966580001030021,3,2,2,1,foul-ball,Foul Ball,Pitch 2 : Strike 2 Foul,0,1,140,166,95,Four-seam FB,FF,L,0,0,2025-08-09T23:16:23Z,False,2,,"{""id"":""4016966580001030021"",""sequenceNumber"":""3"",""type"":{""id"":""21"",""text"":""Foul Ball"",""abbreviation"":""F"",""type"":""foul-ball""},""text"":""Pitch 2 : Strike 2 Foul"",""awayScore"":0,""homeScore"":0,""period"":{""type"":""Top"",""number"":1,""displayValue"":""1st Inning""},""scoringPlay"":false,""scoreValue"":0,""team"":{""id"":""24""},""participants"":[{""athlete"":{""id"":""4109034""},""type"":""pitcher""},{""athlete"":{""id"":""42415""},""type"":""batter""}],""wallclock"":""2025-08-09T23:16:23Z"",""atBatId"":""4016966580001"",""batOrder"":1,""bats"":{""type"":""LEFT"",""abbreviation"":""L"",""displayValue"":""Left""},""atBatPitchNumber"":2,""pitchCoordinate"":{""x"":140,""y"":166},""pitchType"":{""id"":""17"",""text"":""Four-seam FB"",""abbreviation"":""FF""},""pitchVelocity"":95,""hitCoordinate"":{""x"":211,""y"":115},""summaryType"":""P"",""pitchCount"":{""balls"":0,""strikes"":1},""resultCount"":{""balls"":0,""strikes"":2},""trajectory"":""L"",""outs"":0}"
401696658,2025-08-09,St. Louis Cardinals vs Chicago Cubs,1,Top,4016966580001,,42415,,4109034,4016966580001040005,4,3,3,1,ball,Ball,Pitch 3 : Ball 1,1,1,99,273,89,Slider,SL,L,0,0,2025-08-09T23:16:48Z,False,2,,"{""id"":""4016966580001040005"",""sequenceNumber"":""4"",""type"":{""id"":""5"",""text"":""Ball"",""abbreviation"":""B"",""alternativeText"":""Walk"",""type"":""ball""},""text"":""Pitch 3 : Ball 1"",""awayScore"":0,""homeScore"":0,""period"":{""type"":""Top"",""number"":1,""displayValue"":""1st Inning""},""scoringPlay"":false,""scoreValue"":0,""team"":{""id"":""24""},""participants"":[{""athlete"":{""id"":""4109034""},""type"":""pitcher""},{""athlete"":{""id"":""42415""},""type"":""batter""}],""wallclock"":""2025-08-09T23:16:48Z"",""atBatId"":""4016966580001"",""batOrder"":1,""bats"":{""type"":""LEFT"",""abbreviation"":""L"",""displayValue"":""Left""},""atBatPitchNumber"":3,""pitchCoordinate"":{""x"":99,""y"":273},""pitchType"":{""id"":""5"",""text"":""Slider"",""abbreviation"":""SL""},""pitchVelocity"":89,""summaryType"":""P"",""pitchCount"":{""balls"":0,""strikes"":2},""resultCount"":{""balls"":1,""strikes"":2},""trajectory"":""L"",""outs"":0}"
401696658,2025-08-09,St. Louis Cardinals vs Chicago Cubs,1,Top,4016966580001,,42415,,4109034,4016966580001050003,5,4,4,1,double,Double,Pitch 4 : Ball In Play,1,1,113,177,77,Knuckle Curve,KC,L,0,0,2025-08-09T23:17:32Z,False,2,,"{""id"":""4016966580001050003"",""sequenceNumber"":""5"",""type"":{""id"":""3"",""text"":""Double"",""abbreviation"":""2B"",""alternativeText"":""Double"",""type"":""double""},""text"":""Pitch 4 : Ball In Play"",""awayScore"":0,""homeScore"":0,""period"":{""type"":""Top"",""number"":1,""displayValue"":""1st Inning""},""scoringPlay"":false,""scoreValue"":0,""team"":{""id"":""24""},""participants"":[{""athlete"":{""id"":""4109034""},""type"":""pitcher""},{""athlete"":{""id"":""42415""},""type"":""batter""}],""wallclock"":""2025-08-09T23:17:32Z"",""atBatId"":""4016966580001"",""batOrder"":1,""bats"":{""type"":""LEFT"",""abbreviation"":""L"",""displayValue"":""Left""},""atBatPitchNumber"":4,""pitchCoordinate"":{""x"":113,""y"":177},""pitchType"":{""id"":""22"",""text"":""Knuckle Curve"",""abbreviation"":""KC""},""pitchVelocity"":77,""hitCoordinate"":{""x"":211,""y"":115},""summaryType"":""P"",""pitchCount"":{""balls"":1,""strikes"":2},""resultCount"":{""balls"":1,""strikes"":2},""trajectory"":""L"",""outs"":0}"
401696658,2025-08-09,St. Louis Cardinals vs Chicago Cubs,1,Top,4016966580002,,4142424,,4109034,4016966580002020036,2,1,1,2,strike-looking,Strike Looking,Pitch 1 : Strike 1 Looking,0,1,116,165,94,Four-seam FB,FF,R,0,0,2025-08-09T23:17:58Z,False,3,,"{""id"":""4016966580002020036"",""sequenceNumber"":""2"",""type"":{""id"":""36"",""text"":""Strike Looking"",""abbreviation"":""SL"",""alternativeText"":""Strikeout"",""type"":""strike-looking""},""text"":""Pitch 1 : Strike 1 Looking"",""awayScore"":0,""homeScore"":0,""period"":{""type"":""Top"",""number"":1,""displayValue"":""1st Inning""},""scoringPlay"":false,""scoreValue"":0,""team"":{""id"":""24""},""participants"":[{""athlete"":{""id"":""4109034""},""type"":""pitcher""},{""athlete"":{""id"":""4142424""},""type"":""batter""},{""athlete"":{""id"":""42415""},""type"":""onSecond""}],""wallclock"":""2025-08-09T23:17:58Z"",""atBatId"":""4016966580002"",""batOrder"":2,""bats"":{""type"":""RIGHT"",""abbreviation"":""R"",""displayValue"":""Right""},""atBatPitchNumber"":1,""pitchCoordinate"":{""x"":116,""y"":165},""pitchType"":{""id"":""17"",""text"":""Four-seam FB"",""abbreviation"":""FF""},""pitchVelocity"":94,""summaryType"":""P"",""pitchCount"":{""balls"":0,""strikes"":0},""resultCount"":{""balls"":0,""strikes"":1},""trajectory"":""G"",""outs"":1,""onSecond"":{""athlete"":{""id"":""42415""}}}"
401696658,2025-08-09,St. Louis Cardinals vs Chicago Cubs,1,Top,4016966580002,,4142424,,4109034,4016966580002030036,3,2,2,2,strike-looking,Strike Looking,Pitch 2 : Strike 2 Looking,0,2,156,173,94,Sinker,SI,R,0,0,2025-08-09T23:18:18Z,False,3,,"{""id"":""4016966580002030036"",""sequenceNumber"":""3"",""type"":{""id"":""36"",""text"":""Strike Looking"",""abbreviation"":""SL"",""alternativeText"":""Strikeout"",""type"":""strike-looking""},""text"":""Pitch 2 : Strike 2 Looking"",""awayScore"":0,""homeScore"":0,""period"":{""type"":""Top"",""number"":1,""displayValue"":""1st Inning""},""scoringPlay"":false,""scoreValue"":0,""team"":{""id"":""24""},""participants"":[{""athlete"":{""id"":""4109034""},""type"":""pitcher""},{""athlete"":{""id"":""4142424""},""type"":""batter""},{""athlete"":{""id"":""42415""},""type"":""onSecond""}],""wallclock"":""2025-08-09T23:18:18Z"",""atBatId"":""4016966580002"",""batOrder"":2,""bats"":{""type"":""RIGHT"",""abbreviation"":""R"",""displayValue"":""Right""},""atBatPitchNumber"":2,""pitchCoordinate"":{""x"":156,""y"":173},""pitchType"":{""id"":""2"",""text"":""Sinker"",""abbreviation"":""SI""},""pitchVelocity"":94,""summaryType"":""P"",""pitchCount"":{""balls"":0,""strikes"":1},""resultCount"":{""balls"":0,""strikes"":2},""trajectory"":""G"",""outs"":1,""onSecond"":{""athlete"":{""id"":""42415""}}}"
401696658,2025-08-09,St. Louis Cardinals vs Chicago Cubs,1,Top,4016966580002,,4142424,,4109034,4016966580002040005,4,3,3,2,ball,Ball,Pitch 3 : Ball 1,1,2,133,134,94,Four-seam FB,FF,R,0,0,2025-08-09T23:18:39Z,False,3,,"{""id"":""4016966580002040005"",""sequenceNumber"":""4"",""type"":{""id"":""5"",""text"":""Ball"",""abbreviation"":""B"",""alternativeText"":""Walk"",""type"":""ball""},""text"":""Pitch 3 : Ball 1"",""awayScore"":0,""homeScore"":0,""period"":{""type"":""Top"",""number"":1,""displayValue"":""1st Inning""},""scoringPlay"":false,""scoreValue"":0,""team"":{""id"":""24""},""participants"":[{""athlete"":{""id"":""4109034""},""type"":""pitcher""},{""athlete"":{""id"":""4142424""},""type"":""batter""},{""athlete"":{""id"":""42415""},""type"":""onSecond""}],""wallclock"":""2025-08-09T23:18:39Z"",""atBatId"":""4016966580002"",""batOrder"":2,""bats"":{""type"":""RIGHT"",""abbreviation"":""R"",""displayValue"":""Right""},""atBatPitchNumber"":3,""pitchCoordinate"":{""x"":133,""y"":134},""pitchType"":{""id"":""17"",""text"":""Four-seam FB"",""abbreviation"":""FF""},""pitchVelocity"":94,""summaryType"":""P"",""pitchCount"":{""balls"":0,""strikes"":2},""resultCount"":{""balls"":1,""strikes"":2},""trajectory"":""G"",""outs"":1,""onSecond"":{""athlete"":{""id"":""42415""}}}"
401696658,2025-08-09,St. Louis Cardinals vs Chicago Cubs,1,Top,4016966580002,,4142424,,4109034,4016966580002050024,5,4,4,2,ground-out,Ground Out,Pitch 4 : Ball In Play,1,2,79,191,88,Slider,SL,R,0,0,2025-08-09T23:19:21Z,False,3,,"{""id"":""4016966580002050024"",""sequenceNumber"":""5"",""type"":{""id"":""24"",""text"":""Ground Out"",""abbreviation"":""GRO"",""alternativeText"":""Ground Out"",""type"":""ground-out""},""text"":""Pitch 4 : Ball In Play"",""awayScore"":0,""homeScore"":0,""period"":{""type"":""Top"",""number"":1,""displayValue"":""1st Inning""},""scoringPlay"":false,""scoreValue"":0,""team"":{""id"":""24""},""participants"":[{""athlete"":{""id"":""4109034""},""type"":""pitcher""},{""athlete"":{""id"":""4142424""},""type"":""batter""},{""athlete"":{""id"":""42415""},""type"":""onSecond""}],""wallclock"":""2025-08-09T23:19:21Z"",""atBatId"":""4016966580002"",""batOrder"":2,""bats"":{""type"":""RIGHT"",""abbreviation"":""R"",""displayValue"":""Right""},""atBatPitchNumber"":4,""pitchCoordinate"":{""x"":79,""y"":191},""pitchType"":{""id"":""5"",""text"":""Slider"",""abbreviation"":""SL""},""pitchVelocity"":88,""hitCoordinate"":{""x"":146,""y"":136},""summaryType"":""P"",""pitchCount"":{""balls"":1,""strikes"":2},""resultCount"":{""balls"":1,""strikes"":2},""trajectory"":""G"",""outs"":1,""onSecond"":{""athlete"":{""id"":""42415""}}}"
401696658,2025-08-09,St. Louis Cardinals vs Chicago Cubs,1,Top,4016966580003,,34967,,4109034,4016966580003020037,2,1,1,3,strike-swinging,Strike Swinging,Pitch 1 : Strike 1 Swinging,0,1,109,200,96,Four-seam FB,FF,L,0,0,2025-08-09T23:19:47Z,False,3,,"{""id"":""4016966580003020037"",""sequenceNumber"":""2"",""type"":{""id"":""37"",""text"":""Strike Swinging"",""abbreviation"":""SS"",""alternativeText"":""Strikeout"",""type"":""strike-swinging""},""text"":""Pitch 1 : Strike 1 Swinging"",""awayScore"":0,""homeScore"":0,""period"":{""type"":""Top"",""number"":1,""displayValue"":""1st Inning""},""scoringPlay"":false,""scoreValue"":0,""team"":{""id"":""24""},""participants"":[{""athlete"":{""id"":""4109034""},""type"":""pitcher""},{""athlete"":{""id"":""34967""},""type"":""batter""},{""athlete"":{""id"":""42415""},""type"":""onThird""}],""wallclock"":""2025-08-09T23:19:47Z"",""atBatId"":""4016966580003"",""batOrder"":3,""bats"":{""type"":""LEFT"",""abbreviation"":""L"",""displayValue"":""Left""},""atBatPitchNumber"":1,""pitchCoordinate"":{""x"":109,""y"":200},""pitchType"":{""id"":""17"",""text"":""Four-seam FB"",""abbreviation"":""FF""},""pitchVelocity"":96,""summaryType"":""P"",""pitchCount"":{""balls"":0,""strikes"":0},""resultCount"":{""balls"":0,""strikes"":1},""trajectory"":""L"",""outs"":1,""onThird"":{""athlete"":{""id"":""42415""}}}"
401696658,2025-08-09,St. Louis Cardinals vs Chicago Cubs,1,Top,4016966580003,,34967,,4109034,4016966580003030005,3,2,2,3,ball,Ball,Pitch 2 : Ball 1,1,1,142,227,78,Knuckle Curve,KC,L,0,0,2025-08-09T23:20:09Z,False,3,,"{""id"":""4016966580003030005"",""sequenceNumber"":""3"",""type"":{""id"":""5"",""text"":""Ball"",""abbreviation"":""B"",""alternativeText"":""Walk"",""type"":""ball""},""text"":""Pitch 2 : Ball 1"",""awayScore"":0,""homeScore"":0,""period"":{""type"":""Top"",""number"":1,""displayValue"":""1st Inning""},""scoringPlay"":false,""scoreValue"":0,""team"":{""id"":""24""},""participants"":[{""athlete"":{""id"":""4109034""},""type"":""pitcher""},{""athlete"":{""id"":""34967""},""type"":""batter""},{""athlete"":{""id"":""42415""},""type"":""onThird""}],""wallclock"":""2025-08-09T23:20:09Z"",""atBatId"":""4016966580003"",""batOrder"":3,""bats"":{""type"":""LEFT"",""abbreviation"":""L"",""displayValue"":""Left""},""atBatPitchNumber"":2,""pitchCoordinate"":{""x"":142,""y"":227},""pitchType"":{""id"":""22"",""text"":""Knuckle Curve"",""abbreviation"":""KC""},""pitchVelocity"":78,""summaryType"":""P"",""pitchCount"":{""balls"":0,""strikes"":1},""resultCount"":{""balls"":1,""strikes"":1},""trajectory"":""L"",""outs"":1,""onThird"":{""athlete"":{""id"":""42415""}}}"
