game_id,game_date,teams,inning,inning_half,at_bat_id,batter,batter_id,pitcher,pitcher_id,play_id,sequence_number,pitch_number,at_bat_pitch_number,bat_order,play_type,play_type_text,play_description,balls_before,strikes_before,coordinate_x,coordinate_y,velocity_mph,pitch_type,pitch_type_abbrev,batter_side,away_score,home_score,wallclock,scoring_play,participants_count,alternative_text,raw_play_data
401696665,2025-08-09,Seattle Mariners vs Tampa Bay Rays,1,Top,4016966650001,,33481,,5202474,4016966650001020036,2,1,1,1,strike-looking,Strike Looking,Pitch 1 : Strike 1 Looking,0,1,102,200,92,Sinker,SI,R,0,0,2025-08-10T01:57:42Z,False,2,,"{""id"":""4016966650001020036"",""sequenceNumber"":""2"",""type"":{""id"":""36"",""text"":""Strike Looking"",""abbreviation"":""SL"",""alternativeText"":""Strikeout"",""type"":""strike-looking""},""text"":""Pitch 1 : Strike 1 Looking"",""awayScore"":0,""homeScore"":0,""period"":{""type"":""Top"",""number"":1,""displayValue"":""1st Inning""},""scoringPlay"":false,""scoreValue"":0,""team"":{""id"":""12""},""participants"":[{""athlete"":{""id"":""5202474""},""type"":""pitcher""},{""athlete"":{""id"":""33481""},""type"":""batter""}],""wallclock"":""2025-08-10T01:57:42Z"",""atBatId"":""4016966650001"",""batOrder"":1,""bats"":{""type"":""RIGHT"",""abbreviation"":""R"",""displayValue"":""Right""},""atBatPitchNumber"":1,""pitchCoordinate"":{""x"":102,""y"":200},""pitchType"":{""id"":""2"",""text"":""Sinker"",""abbreviation"":""SI""},""pitchVelocity"":92,""summaryType"":""P"",""pitchCount"":{""balls"":0,""strikes"":0},""resultCount"":{""balls"":0,""strikes"":1},""outs"":1}"
401696665,2025-08-09,Seattle Mariners vs Tampa Bay Rays,1,Top,4016966650001,,33481,,5202474,4016966650001030005,3,2,2,1,ball,Ball,Pitch 2 : Ball 1,1,1,129,216,91,Four-seam FB,FF,R,0,0,2025-08-10T01:57:56Z,False,2,,"{""id"":""4016966650001030005"",""sequenceNumber"":""3"",""type"":{""id"":""5"",""text"":""Ball"",""abbreviation"":""B"",""alternativeText"":""Walk"",""type"":""ball""},""text"":""Pitch 2 : Ball 1"",""awayScore"":0,""homeScore"":0,""period"":{""type"":""Top"",""number"":1,""displayValue"":""1st Inning""},""scoringPlay"":false,""scoreValue"":0,""team"":{""id"":""12""},""participants"":[{""athlete"":{""id"":""5202474""},""type"":""pitcher""},{""athlete"":{""id"":""33481""},""type"":""batter""}],""wallclock"":""2025-08-10T01:57:56Z"",""atBatId"":""4016966650001"",""batOrder"":1,""bats"":{""type"":""RIGHT"",""abbreviation"":""R"",""displayValue"":""Right""},""atBatPitchNumber"":2,""pitchCoordinate"":{""x"":129,""y"":216},""pitchType"":{""id"":""17"",""text"":""Four-seam FB"",""abbreviation"":""FF""},""pitchVelocity"":91,""summaryType"":""P"",""pitchCount"":{""balls"":0,""strikes"":1},""resultCount"":{""balls"":1,""strikes"":1},""outs"":1}"
401696665,2025-08-09,Seattle Mariners vs Tampa Bay Rays,1,Top,4016966650001,,33481,,5202474,4016966650001040036,4,3,3,1,strike-looking,Strike Looking,Pitch 3 : Strike 2 Looking,1,2,129,170,90,Four-seam FB,FF,R,0,0,2025-08-10T01:58:17Z,False,2,,"{""id"":""4016966650001040036"",""sequenceNumber"":""4"",""type"":{""id"":""36"",""text"":""Strike Looking"",""abbreviation"":""SL"",""alternativeText"":""Strikeout"",""type"":""strike-looking""},""text"":""Pitch 3 : Strike 2 Looking"",""awayScore"":0,""homeScore"":0,""period"":{""type"":""Top"",""number"":1,""displayValue"":""1st Inning""},""scoringPlay"":false,""scoreValue"":0,""team"":{""id"":""12""},""participants"":[{""athlete"":{""id"":""5202474""},""type"":""pitcher""},{""athlete"":{""id"":""33481""},""type"":""batter""}],""wallclock"":""2025-08-10T01:58:17Z"",""atBatId"":""4016966650001"",""batOrder"":1,""bats"":{""type"":""RIGHT"",""abbreviation"":""R"",""displayValue"":""Right""},""atBatPitchNumber"":3,""pitchCoordinate"":{""x"":129,""y"":170},""pitchType"":{""id"":""17"",""text"":""Four-seam FB"",""abbreviation"":""FF""},""pitchVelocity"":90,""summaryType"":""P"",""pitchCount"":{""balls"":1,""strikes"":1},""resultCount"":{""balls"":1,""strikes"":2},""outs"":1}"
401696665,2025-08-09,Seattle Mariners vs Tampa Bay Rays,1,Top,4016966650001,,33481,,5202474,4016966650001050021,5,4,4,1,foul-ball,Foul Ball,Pitch 4 : Strike 2 Foul,1,2,111,195,92,Four-seam FB,FF,R,0,0,2025-08-10T01:58:37Z,False,2,,"{""id"":""4016966650001050021"",""sequenceNumber"":""5"",""type"":{""id"":""21"",""text"":""Foul Ball"",""abbreviation"":""F"",""type"":""foul-ball""},""text"":""Pitch 4 : Strike 2 Foul"",""awayScore"":0,""homeScore"":0,""period"":{""type"":""Top"",""number"":1,""displayValue"":""1st Inning""},""scoringPlay"":false,""scoreValue"":0,""team"":{""id"":""12""},""participants"":[{""athlete"":{""id"":""5202474""},""type"":""pitcher""},{""athlete"":{""id"":""33481""},""type"":""batter""}],""wallclock"":""2025-08-10T01:58:37Z"",""atBatId"":""4016966650001"",""batOrder"":1,""bats"":{""type"":""RIGHT"",""abbreviation"":""R"",""displayValue"":""Right""},""atBatPitchNumber"":4,""pitchCoordinate"":{""x"":111,""y"":195},""pitchType"":{""id"":""17"",""text"":""Four-seam FB"",""abbreviation"":""FF""},""pitchVelocity"":92,""summaryType"":""P"",""pitchCount"":{""balls"":1,""strikes"":2},""resultCount"":{""balls"":1,""strikes"":2},""outs"":1}"
401696665,2025-08-09,Seattle Mariners vs Tampa Bay Rays,1,Top,4016966650001,,33481,,5202474,4016966650001060037,6,5,5,1,strike-swinging,Strike Swinging,Pitch 5 : Strike 3 Swinging,1,2,96,179,87,Sweeper,ST,R,0,0,2025-08-10T01:58:58Z,False,2,,"{""id"":""4016966650001060037"",""sequenceNumber"":""6"",""type"":{""id"":""37"",""text"":""Strike Swinging"",""abbreviation"":""SS"",""alternativeText"":""Strikeout"",""type"":""strike-swinging""},""text"":""Pitch 5 : Strike 3 Swinging"",""awayScore"":0,""homeScore"":0,""period"":{""type"":""Top"",""number"":1,""displayValue"":""1st Inning""},""scoringPlay"":false,""scoreValue"":0,""team"":{""id"":""12""},""participants"":[{""athlete"":{""id"":""5202474""},""type"":""pitcher""},{""athlete"":{""id"":""33481""},""type"":""batter""}],""wallclock"":""2025-08-10T01:58:58Z"",""atBatId"":""4016966650001"",""batOrder"":1,""bats"":{""type"":""RIGHT"",""abbreviation"":""R"",""displayValue"":""Right""},""atBatPitchNumber"":5,""pitchCoordinate"":{""x"":96,""y"":179},""pitchType"":{""id"":""25"",""text"":""Sweeper"",""abbreviation"":""ST""},""pitchVelocity"":87,""summaryType"":""P"",""pitchCount"":{""balls"":1,""strikes"":2},""resultCount"":{""balls"":1,""strikes"":3},""outs"":1}"
401696665,2025-08-09,Seattle Mariners vs Tampa Bay Rays,1,Top,4016966650002,,39961,,5202474,4016966650002020005,2,1,1,2,ball,Ball,Pitch 1 : Ball 1,1,0,165,192,94,Four-seam FB,FF,L,0,0,2025-08-10T01:59:23Z,False,2,,"{""id"":""4016966650002020005"",""sequenceNumber"":""2"",""type"":{""id"":""5"",""text"":""Ball"",""abbreviation"":""B"",""alternativeText"":""Walk"",""type"":""ball""},""text"":""Pitch 1 : Ball 1"",""awayScore"":0,""homeScore"":0,""period"":{""type"":""Top"",""number"":1,""displayValue"":""1st Inning""},""scoringPlay"":false,""scoreValue"":0,""team"":{""id"":""12""},""participants"":[{""athlete"":{""id"":""5202474""},""type"":""pitcher""},{""athlete"":{""id"":""39961""},""type"":""batter""}],""wallclock"":""2025-08-10T01:59:23Z"",""atBatId"":""4016966650002"",""batOrder"":2,""bats"":{""type"":""LEFT"",""abbreviation"":""L"",""displayValue"":""Left""},""atBatPitchNumber"":1,""pitchCoordinate"":{""x"":165,""y"":192},""pitchType"":{""id"":""17"",""text"":""Four-seam FB"",""abbreviation"":""FF""},""pitchVelocity"":94,""summaryType"":""P"",""pitchCount"":{""balls"":0,""strikes"":0},""resultCount"":{""balls"":1,""strikes"":0},""trajectory"":""F"",""outs"":1}"
401696665,2025-08-09,Seattle Mariners vs Tampa Bay Rays,1,Top,4016966650002,,39961,,5202474,4016966650002030028,3,2,2,2,home-run,Home Run,Pitch 2 : Ball In Play,1,0,113,169,94,Sinker,SI,L,1,0,2025-08-10T01:59:47Z,False,2,,"{""id"":""4016966650002030028"",""sequenceNumber"":""3"",""type"":{""id"":""28"",""text"":""Home Run"",""abbreviation"":""HR"",""alternativeText"":""Home Run"",""type"":""home-run""},""text"":""Pitch 2 : Ball In Play"",""awayScore"":1,""homeScore"":0,""period"":{""type"":""Top"",""number"":1,""displayValue"":""1st Inning""},""scoringPlay"":false,""scoreValue"":0,""team"":{""id"":""12""},""participants"":[{""athlete"":{""id"":""5202474""},""type"":""pitcher""},{""athlete"":{""id"":""39961""},""type"":""batter""}],""wallclock"":""2025-08-10T01:59:47Z"",""atBatId"":""4016966650002"",""batOrder"":2,""bats"":{""type"":""LEFT"",""abbreviation"":""L"",""displayValue"":""Left""},""atBatPitchNumber"":2,""pitchCoordinate"":{""x"":113,""y"":169},""pitchType"":{""id"":""2"",""text"":""Sinker"",""abbreviation"":""SI""},""pitchVelocity"":94,""hitCoordinate"":{""x"":31,""y"":95},""summaryType"":""P"",""pitchCount"":{""balls"":1,""strikes"":0},""resultCount"":{""balls"":1,""strikes"":0},""trajectory"":""F"",""outs"":1}"
401696665,2025-08-09,Seattle Mariners vs Tampa Bay Rays,1,Top,4016966650003,,40557,,5202474,4016966650003020005,2,1,1,3,ball,Ball,Pitch 1 : Ball 1,1,0,130,212,92,Four-seam FB,FF,L,1,0,2025-08-10T02:00:25Z,False,2,,"{""id"":""4016966650003020005"",""sequenceNumber"":""2"",""type"":{""id"":""5"",""text"":""Ball"",""abbreviation"":""B"",""alternativeText"":""Walk"",""type"":""ball""},""text"":""Pitch 1 : Ball 1"",""awayScore"":1,""homeScore"":0,""period"":{""type"":""Top"",""number"":1,""displayValue"":""1st Inning""},""scoringPlay"":false,""scoreValue"":0,""team"":{""id"":""12""},""participants"":[{""athlete"":{""id"":""5202474""},""type"":""pitcher""},{""athlete"":{""id"":""40557""},""type"":""batter""}],""wallclock"":""2025-08-10T02:00:25Z"",""atBatId"":""4016966650003"",""batOrder"":3,""bats"":{""type"":""LEFT"",""abbreviation"":""L"",""displayValue"":""Left""},""atBatPitchNumber"":1,""pitchCoordinate"":{""x"":130,""y"":212},""pitchType"":{""id"":""17"",""text"":""Four-seam FB"",""abbreviation"":""FF""},""pitchVelocity"":92,""summaryType"":""P"",""pitchCount"":{""balls"":0,""strikes"":0},""resultCount"":{""balls"":1,""strikes"":0},""trajectory"":""G"",""outs"":2}"
401696665,2025-08-09,Seattle Mariners vs Tampa Bay Rays,1,Top,4016966650003,,40557,,5202474,4016966650003030037,3,2,2,3,strike-swinging,Strike Swinging,Pitch 2 : Strike 1 Swinging,1,1,125,150,94,Four-seam FB,FF,L,1,0,2025-08-10T02:00:43Z,False,2,,"{""id"":""4016966650003030037"",""sequenceNumber"":""3"",""type"":{""id"":""37"",""text"":""Strike Swinging"",""abbreviation"":""SS"",""alternativeText"":""Strikeout"",""type"":""strike-swinging""},""text"":""Pitch 2 : Strike 1 Swinging"",""awayScore"":1,""homeScore"":0,""period"":{""type"":""Top"",""number"":1,""displayValue"":""1st Inning""},""scoringPlay"":false,""scoreValue"":0,""team"":{""id"":""12""},""participants"":[{""athlete"":{""id"":""5202474""},""type"":""pitcher""},{""athlete"":{""id"":""40557""},""type"":""batter""}],""wallclock"":""2025-08-10T02:00:43Z"",""atBatId"":""4016966650003"",""batOrder"":3,""bats"":{""type"":""LEFT"",""abbreviation"":""L"",""displayValue"":""Left""},""atBatPitchNumber"":2,""pitchCoordinate"":{""x"":125,""y"":150},""pitchType"":{""id"":""17"",""text"":""Four-seam FB"",""abbreviation"":""FF""},""pitchVelocity"":94,""summaryType"":""P"",""pitchCount"":{""balls"":1,""strikes"":0},""resultCount"":{""balls"":1,""strikes"":1},""trajectory"":""G"",""outs"":2}"
401696665,2025-08-09,Seattle Mariners vs Tampa Bay Rays,1,Top,4016966650003,,40557,,5202474,4016966650003040021,4,3,3,3,foul-ball,Foul Ball,Pitch 3 : Strike 2 Foul,1,1,89,204,86,Cutter,FC,L,1,0,2025-08-10T02:01:03Z,False,2,,"{""id"":""4016966650003040021"",""sequenceNumber"":""4"",""type"":{""id"":""21"",""text"":""Foul Ball"",""abbreviation"":""F"",""type"":""foul-ball""},""text"":""Pitch 3 : Strike 2 Foul"",""awayScore"":1,""homeScore"":0,""period"":{""type"":""Top"",""number"":1,""displayValue"":""1st Inning""},""scoringPlay"":false,""scoreValue"":0,""team"":{""id"":""12""},""participants"":[{""athlete"":{""id"":""5202474""},""type"":""pitcher""},{""athlete"":{""id"":""40557""},""type"":""batter""}],""wallclock"":""2025-08-10T02:01:03Z"",""atBatId"":""4016966650003"",""batOrder"":3,""bats"":{""type"":""LEFT"",""abbreviation"":""L"",""displayValue"":""Left""},""atBatPitchNumber"":3,""pitchCoordinate"":{""x"":89,""y"":204},""pitchType"":{""id"":""3"",""text"":""Cutter"",""abbreviation"":""FC""},""pitchVelocity"":86,""hitCoordinate"":{""x"":119,""y"":149},""summaryType"":""P"",""pitchCount"":{""balls"":1,""strikes"":1},""resultCount"":{""balls"":1,""strikes"":2},""trajectory"":""G"",""outs"":2}"
